dataset,fold,f1,f1v,f2,f3,f4,l1,l2,l3,n1,n2,n3,n4,t1,lsc,density,clsCoef,hubs,t2,t3,t4,c1,c2
liver,1,0.957,0.61,0.074,0.942,0.85,0.532,0.289,0.237,0.197,0.426,0.387,0.312,0.861,0.985,0.895,0.463,0.78,0.035,0.017,0.5,0.018,0.048
liver,2,0.892,0.669,0.054,0.93,0.797,0.519,0.32,0.302,0.189,0.422,0.378,0.25,0.82,0.983,0.908,0.492,0.793,0.035,0.017,0.5,0.019,0.052
liver,3,0.904,0.487,0.084,0.954,0.884,0.524,0.266,0.272,0.225,0.437,0.434,0.231,0.832,0.984,0.918,0.554,0.789,0.035,0.017,0.5,0.018,0.048
liver,4,0.946,0.708,0.098,0.948,0.849,0.513,0.349,0.297,0.218,0.433,0.413,0.308,0.837,0.985,0.924,0.497,0.827,0.035,0.017,0.5,0.019,0.052
liver,5,0.933,0.478,0.149,0.965,0.879,0.517,0.26,0.243,0.182,0.413,0.324,0.266,0.792,0.983,0.921,0.559,0.799,0.035,0.017,0.5,0.018,0.048
liver,6,0.961,0.624,0.069,0.948,0.762,0.497,0.297,0.256,0.209,0.428,0.384,0.302,0.785,0.984,0.9,0.499,0.781,0.035,0.017,0.5,0.019,0.052
liver,7,0.907,0.57,0.072,0.948,0.844,0.535,0.312,0.266,0.214,0.428,0.451,0.22,0.85,0.985,0.933,0.562,0.842,0.035,0.017,0.5,0.018,0.048
liver,8,0.907,0.555,0.049,0.953,0.849,0.477,0.331,0.279,0.192,0.411,0.378,0.25,0.785,0.984,0.903,0.504,0.782,0.035,0.017,0.5,0.019,0.052
liver,9,0.943,0.619,0.093,0.96,0.867,0.543,0.272,0.283,0.208,0.436,0.451,0.295,0.815,0.985,0.91,0.49,0.819,0.035,0.017,0.5,0.018,0.048
mammographic,0,0.461,0.2,0.537,0.923,0.916,0.084,0.159,0.092,0.128,0.255,0.248,0.202,0.511,0.985,0.84,0.277,0.736,0.012,0.002,0.2,0.001,0.002
mammographic,1,0.519,0.249,0.071,0.918,0.916,0.139,0.173,0.135,0.118,0.281,0.267,0.128,0.535,0.989,0.843,0.273,0.742,0.012,0.002,0.2,0.001,0.001
mammographic,2,0.51,0.207,0.597,0.916,0.908,0.116,0.171,0.125,0.13,0.253,0.243,0.133,0.511,0.986,0.84,0.276,0.73,0.012,0.002,0.2,0.001,0.002
mammographic,3,0.495,0.25,0.081,0.959,0.957,0.113,0.171,0.13,0.127,0.278,0.248,0.152,0.525,0.987,0.83,0.263,0.707,0.012,0.002,0.2,0.001,0.001
mammographic,4,0.518,0.267,0.07,0.949,0.935,0.124,0.183,0.133,0.133,0.294,0.275,0.171,0.542,0.987,0.839,0.266,0.728,0.012,0.002,0.2,0.001,0.002
mammographic,5,0.468,0.198,0.662,0.916,0.916,0.112,0.164,0.084,0.118,0.247,0.231,0.13,0.463,0.987,0.849,0.292,0.755,0.012,0.002,0.2,0.001,0.001
mammographic,6,0.538,0.231,0.679,0.93,0.93,0.126,0.193,0.147,0.135,0.275,0.27,0.152,0.554,0.988,0.879,0.324,0.777,0.012,0.002,0.2,0.001,0.002
mammographic,7,0.462,0.228,0.065,0.93,0.918,0.11,0.157,0.142,0.105,0.269,0.212,0.171,0.492,0.986,0.818,0.248,0.716,0.012,0.002,0.2,0.001,0.001
mammographic,8,0.446,0.187,0.75,0.925,0.925,0.114,0.159,0.106,0.117,0.244,0.263,0.14,0.489,0.986,0.857,0.293,0.752,0.012,0.002,0.2,0.001,0.002
mammographic,9,0.561,0.286,0.081,0.947,0.945,0.105,0.166,0.128,0.136,0.293,0.251,0.152,0.549,0.989,0.843,0.278,0.736,0.012,0.002,0.2,0.001,0.001
monk-2,0,0.604,0.213,0.667,0.718,0.079,0.056,0.181,0.148,0.039,0.393,0.093,0.069,0.611,0.963,0.954,0.549,0.871,0.028,0.028,1.0,0.002,0.006
monk-2,1,0.48,0.19,0.667,0.782,0.065,0.048,0.194,0.111,0.053,0.39,0.088,0.069,0.644,0.956,0.956,0.567,0.877,0.028,0.028,1.0,0.002,0.006
monk-2,2,0.627,0.272,0.667,0.759,0.106,0.07,0.269,0.208,0.058,0.394,0.134,0.102,0.681,0.964,0.96,0.596,0.872,0.028,0.028,1.0,0.002,0.006
monk-2,3,0.451,0.159,0.667,0.741,0.014,0.035,0.181,0.111,0.046,0.388,0.083,0.06,0.602,0.953,0.955,0.557,0.817,0.028,0.028,1.0,0.002,0.006
monk-2,4,0.544,0.217,0.667,0.741,0.088,0.061,0.199,0.134,0.06,0.391,0.102,0.037,0.602,0.959,0.957,0.591,0.752,0.028,0.028,1.0,0.002,0.006
monk-2,5,0.539,0.195,0.667,0.759,0.037,0.042,0.194,0.125,0.06,0.392,0.116,0.046,0.588,0.961,0.957,0.587,0.795,0.028,0.028,1.0,0.002,0.006
monk-2,6,0.539,0.205,0.667,0.75,0.06,0.054,0.204,0.144,0.06,0.394,0.12,0.037,0.662,0.96,0.958,0.583,0.799,0.028,0.028,1.0,0.002,0.006
monk-2,7,0.543,0.213,0.667,0.75,0.106,0.053,0.185,0.093,0.065,0.391,0.125,0.065,0.639,0.962,0.959,0.592,0.842,0.028,0.028,1.0,0.002,0.006
monk-2,8,0.656,0.251,0.667,0.722,0.097,0.065,0.264,0.19,0.06,0.397,0.144,0.116,0.681,0.965,0.957,0.586,0.813,0.028,0.028,1.0,0.002,0.006
monk-2,9,0.432,0.17,0.667,0.778,0.069,0.046,0.162,0.116,0.065,0.388,0.13,0.056,0.588,0.957,0.956,0.574,0.817,0.028,0.028,1.0,0.002,0.006
monkone,0,0.708,0.517,0.667,0.748,0.748,0.187,0.331,0.255,0.131,0.371,0.212,0.173,0.773,0.988,0.983,0.512,0.953,0.022,0.022,1.0,0.0,0.0
monkone,1,0.629,0.441,0.667,0.759,0.759,0.166,0.32,0.284,0.122,0.359,0.14,0.133,0.748,0.988,0.982,0.482,0.957,0.022,0.022,1.0,0.0,0.0
monkone,2,0.642,0.464,0.667,0.752,0.752,0.182,0.327,0.327,0.124,0.379,0.201,0.162,0.777,0.987,0.982,0.499,0.961,0.022,0.022,1.0,0.0,0.0
monkone,3,0.696,0.511,0.667,0.755,0.755,0.188,0.345,0.299,0.115,0.381,0.165,0.112,0.824,0.99,0.983,0.515,0.964,0.022,0.022,1.0,0.0,0.0
monkone,4,0.615,0.435,0.667,0.759,0.759,0.174,0.299,0.263,0.11,0.362,0.126,0.122,0.709,0.987,0.982,0.481,0.95,0.022,0.022,1.0,0.0,0.0
